epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2524,1.44363,2.39947,1.26724,0.78195,0.66644,0.75532,0.46671,1.29888,1.73757,1.16297,0.000413194,0.000413194,0.000413194
2,145.186,1.33845,1.33278,1.1947,0.83295,0.78156,0.82255,0.50498,1.2918,1.26208,1.20697,0.000821645,0.000821645,0.000821645
3,215.178,1.29788,1.16865,1.1801,0.86941,0.85173,0.90176,0.56496,1.18302,1.08651,1.16148,0.00122185,0.00122185,0.00122185
4,285.494,1.22215,1.04071,1.13672,0.8709,0.89632,0.90339,0.57784,1.11969,0.96805,1.10459,0.00121287,0.00121287,0.00121287
5,355.704,1.20792,0.98416,1.12534,0.89785,0.88271,0.91037,0.59452,1.11309,0.88688,1.11722,0.0012005,0.0012005,0.0012005
6,425.735,1.17008,0.91632,1.11734,0.89863,0.87682,0.92012,0.60839,1.07864,0.90347,1.10523,0.00118812,0.00118812,0.00118812
7,495.781,1.1555,0.87715,1.1081,0.90682,0.91886,0.93583,0.61104,1.0896,0.79702,1.07274,0.00117575,0.00117575,0.00117575
8,565.778,1.15688,0.83576,1.10516,0.93518,0.91901,0.95118,0.6562,1.02296,0.75197,1.05035,0.00116337,0.00116337,0.00116337
9,636.798,1.10893,0.79259,1.08428,0.92373,0.93915,0.95367,0.64772,1.06223,0.71613,1.08074,0.001151,0.001151,0.001151
10,708.6,1.12654,0.77712,1.08475,0.93135,0.92282,0.95449,0.64732,1.04323,0.69531,1.06066,0.00113863,0.00113863,0.00113863
11,781.215,1.08839,0.74268,1.08244,0.94323,0.91569,0.94971,0.64776,1.04496,0.72351,1.06763,0.00112625,0.00112625,0.00112625
12,855.189,1.07833,0.71824,1.07,0.93494,0.92718,0.95171,0.66476,0.9856,0.6571,1.02095,0.00111388,0.00111388,0.00111388
