epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.688,1.44158,2.51334,1.2618,0.76446,0.53662,0.68404,0.41683,1.3539,2.01176,1.19139,0.0004125,0.0004125,0.0004125
2,123.389,1.37941,1.43316,1.23846,0.80595,0.72005,0.79614,0.49303,1.28057,1.32104,1.18739,0.000820958,0.000820958,0.000820958
3,183.925,1.32863,1.21521,1.20675,0.82428,0.83895,0.85724,0.48894,1.29929,1.36656,1.25953,0.00122117,0.00122117,0.00122117
4,243.668,1.27923,1.1343,1.18524,0.89735,0.86116,0.9041,0.56848,1.21716,1.03626,1.15262,0.00121287,0.00121287,0.00121287
5,303.258,1.24371,1.03339,1.1673,0.9182,0.87202,0.91774,0.57686,1.17511,1.00241,1.15974,0.0012005,0.0012005,0.0012005
6,364.387,1.21806,0.99891,1.17166,0.91001,0.88048,0.91182,0.59749,1.11289,0.87659,1.14196,0.00118812,0.00118812,0.00118812
7,425.3,1.1698,0.90869,1.13475,0.91504,0.90724,0.93036,0.6116,1.07635,0.8302,1.12072,0.00117575,0.00117575,0.00117575
8,486.201,1.17122,0.88422,1.14062,0.89188,0.91675,0.93345,0.60216,1.14927,0.82576,1.1384,0.00116337,0.00116337,0.00116337
9,546.232,1.15199,0.84288,1.11429,0.9161,0.91884,0.92344,0.61131,1.05612,0.74495,1.10546,0.001151,0.001151,0.001151
10,605.989,1.11207,0.78945,1.09744,0.93813,0.91519,0.93708,0.6371,1.05577,0.71537,1.08869,0.00113863,0.00113863,0.00113863
11,665.949,1.10239,0.76538,1.09731,0.92682,0.94022,0.94657,0.64014,1.05082,0.71592,1.09853,0.00112625,0.00112625,0.00112625
12,726.271,1.10203,0.75561,1.09776,0.93086,0.93831,0.95273,0.62043,1.12574,0.72255,1.11209,0.00111388,0.00111388,0.00111388
13,786.408,1.09104,0.72488,1.08418,0.9275,0.94352,0.95276,0.66611,1.02023,0.66193,1.09049,0.0011015,0.0011015,0.0011015
14,846.591,1.0948,0.7116,1.09803,0.90914,0.92928,0.93437,0.65728,1.01383,0.65422,1.06723,0.00108913,0.00108913,0.00108913
15,906.721,1.05564,0.69677,1.07285,0.95149,0.93016,0.9515,0.6708,1.01363,0.62468,1.08779,0.00107675,0.00107675,0.00107675
16,966.847,1.04757,0.68197,1.06951,0.94828,0.93205,0.95733,0.678,0.98384,0.60634,1.04868,0.00106437,0.00106437,0.00106437
17,1027.14,1.04186,0.66277,1.06427,0.93906,0.95758,0.96573,0.69346,0.96058,0.58079,1.06404,0.001052,0.001052,0.001052
18,1087.17,1.02873,0.65421,1.07091,0.93717,0.94073,0.96301,0.68031,0.95993,0.59336,1.06028,0.00103962,0.00103962,0.00103962
19,1147.54,1.04319,0.65514,1.06847,0.97112,0.92011,0.96658,0.66155,1.03111,0.60123,1.06296,0.00102725,0.00102725,0.00102725
20,1207.1,1.01531,0.63928,1.0587,0.9464,0.93468,0.96334,0.69494,0.96468,0.58539,1.06184,0.00101488,0.00101488,0.00101488
21,1267.09,0.99883,0.61937,1.05253,0.95749,0.93613,0.96828,0.7031,0.93525,0.56529,1.02704,0.0010025,0.0010025,0.0010025
22,1328.04,0.99226,0.61039,1.03742,0.95274,0.94051,0.96594,0.70477,0.94588,0.56452,1.0524,0.000990125,0.000990125,0.000990125
23,1389.39,1.00502,0.61993,1.05701,0.94741,0.94731,0.96318,0.70113,0.94986,0.56112,1.05807,0.00097775,0.00097775,0.00097775
24,1450.01,1.00979,0.61798,1.06527,0.93332,0.9496,0.96459,0.68883,0.96895,0.56881,1.06934,0.000965375,0.000965375,0.000965375
25,1509.85,1.00863,0.61157,1.05561,0.95737,0.94595,0.97378,0.70548,0.94077,0.54882,1.04695,0.000953,0.000953,0.000953
26,1569.89,0.97407,0.58827,1.03786,0.94227,0.96085,0.97237,0.70832,0.91662,0.54034,1.03961,0.000940625,0.000940625,0.000940625
27,1629.89,0.97105,0.58728,1.04411,0.95641,0.95043,0.97137,0.71443,0.9195,0.52662,1.04507,0.00092825,0.00092825,0.00092825
28,1689.61,0.96648,0.5756,1.0334,0.95042,0.9568,0.97207,0.71097,0.94634,0.54208,1.05974,0.000915875,0.000915875,0.000915875
29,1754.83,0.96196,0.57588,1.03046,0.94244,0.95621,0.97077,0.71204,0.93885,0.54113,1.03659,0.0009035,0.0009035,0.0009035
30,1817.09,0.97589,0.58253,1.0312,0.96319,0.95097,0.97134,0.71108,0.94956,0.52796,1.03284,0.000891125,0.000891125,0.000891125
31,1884.91,0.9594,0.56775,1.03075,0.96119,0.9509,0.9707,0.72076,0.91578,0.51623,1.02714,0.00087875,0.00087875,0.00087875
32,1958.95,0.93565,0.55871,1.02051,0.95789,0.96256,0.97936,0.71078,0.93364,0.53028,1.03373,0.000866375,0.000866375,0.000866375
33,2025.35,0.9454,0.56286,1.02289,0.96767,0.95883,0.97804,0.71997,0.92226,0.51645,1.04141,0.000854,0.000854,0.000854
34,2099.46,0.95704,0.55768,1.03656,0.96304,0.94587,0.97392,0.72564,0.9117,0.49708,1.03746,0.000841625,0.000841625,0.000841625
35,2184.81,0.93015,0.5464,1.02431,0.95783,0.96484,0.97774,0.72357,0.9182,0.49407,1.03487,0.00082925,0.00082925,0.00082925
36,2273.57,0.92935,0.53903,1.0178,0.96634,0.95927,0.97907,0.73168,0.91509,0.4972,1.0373,0.000816875,0.000816875,0.000816875
37,2359.64,0.93711,0.54312,1.01954,0.96464,0.95841,0.97678,0.72462,0.92478,0.49818,1.03307,0.0008045,0.0008045,0.0008045
