epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8445,1.43389,2.36353,1.25202,0.74359,0.68467,0.7562,0.45281,1.3173,1.5812,1.1632,0.00041351,0.00041351,0.00041351
2,169.384,1.33588,1.32648,1.18297,0.83795,0.79514,0.85212,0.54268,1.19248,1.17942,1.10774,0.000821958,0.000821958,0.000821958
3,251.33,1.2722,1.11285,1.15262,0.88147,0.84118,0.87504,0.55364,1.15704,1.03504,1.09138,0.00122216,0.00122216,0.00122216
4,329.796,1.26325,1.05579,1.14719,0.87501,0.84162,0.86958,0.53602,1.2374,1.04572,1.15685,0.00121287,0.00121287,0.00121287
5,409.33,1.21527,0.97909,1.12203,0.93513,0.89574,0.93315,0.60727,1.07304,0.83638,1.06886,0.0012005,0.0012005,0.0012005
6,488.27,1.17562,0.88863,1.09981,0.92114,0.9024,0.92985,0.61941,1.0777,0.77107,1.05783,0.00118812,0.00118812,0.00118812
7,567.371,1.13643,0.83817,1.09038,0.94271,0.90365,0.93881,0.63442,1.05179,0.7634,1.05571,0.00117575,0.00117575,0.00117575
8,647.397,1.1193,0.79938,1.08612,0.92868,0.91926,0.94332,0.62837,1.08947,0.71351,1.06341,0.00116337,0.00116337,0.00116337
9,725.609,1.10681,0.75145,1.07385,0.93104,0.89382,0.93017,0.63685,1.04308,0.73475,1.05237,0.001151,0.001151,0.001151
10,803.459,1.09931,0.7463,1.08184,0.94513,0.92317,0.95325,0.64743,1.06611,0.66242,1.05711,0.00113863,0.00113863,0.00113863
11,881.357,1.08801,0.72294,1.06527,0.9361,0.928,0.94808,0.6625,0.99206,0.64988,1.03676,0.00112625,0.00112625,0.00112625
12,959.612,1.05811,0.69365,1.06192,0.96144,0.93683,0.96488,0.67985,0.98228,0.60709,1.02356,0.00111388,0.00111388,0.00111388
13,1037.45,1.07573,0.68493,1.06856,0.9195,0.93428,0.948,0.67218,1.00062,0.64086,1.03764,0.0011015,0.0011015,0.0011015
14,1115.47,1.05843,0.67582,1.05276,0.94292,0.93617,0.95992,0.68654,0.97193,0.59813,1.00972,0.00108913,0.00108913,0.00108913
15,1193.31,1.03568,0.6524,1.03883,0.95395,0.94316,0.96655,0.66492,1.06571,0.61619,1.04345,0.00107675,0.00107675,0.00107675
16,1270.96,1.03325,0.64079,1.04904,0.96476,0.94562,0.9651,0.69867,0.95044,0.55112,1.02067,0.00106437,0.00106437,0.00106437
17,1349.07,1.01071,0.6248,1.03778,0.9533,0.93849,0.96488,0.69825,0.96953,0.57331,1.01929,0.001052,0.001052,0.001052
18,1426.96,1.00807,0.61344,1.03861,0.96183,0.94974,0.97043,0.69725,0.9581,0.55318,1.00632,0.00103962,0.00103962,0.00103962
19,1504.95,1.00666,0.61174,1.03522,0.95913,0.94491,0.96981,0.69531,0.96254,0.57535,1.01353,0.00102725,0.00102725,0.00102725
20,1582.92,0.99252,0.60459,1.03497,0.9461,0.94959,0.96803,0.7092,0.91857,0.53638,0.99306,0.00101488,0.00101488,0.00101488
21,1662.12,0.97733,0.58466,1.02192,0.95953,0.96482,0.97761,0.70277,0.94942,0.54021,1.02019,0.0010025,0.0010025,0.0010025
22,1741.66,0.98234,0.58554,1.02731,0.94775,0.95043,0.97087,0.71341,0.95173,0.54656,1.01544,0.000990125,0.000990125,0.000990125
23,1820.68,0.98246,0.57987,1.02896,0.96192,0.94633,0.9726,0.71259,0.93467,0.54204,1.00891,0.00097775,0.00097775,0.00097775
24,1899.7,0.97468,0.57112,1.02136,0.96733,0.95654,0.97298,0.71939,0.93572,0.51988,0.9992,0.000965375,0.000965375,0.000965375
25,1978.04,0.96793,0.56575,1.02106,0.95067,0.95969,0.96802,0.71594,0.92445,0.5306,1.00532,0.000953,0.000953,0.000953
26,2056.14,0.95901,0.55727,1.01787,0.94623,0.95896,0.97224,0.72024,0.91218,0.51533,0.99586,0.000940625,0.000940625,0.000940625
27,2134.43,0.97372,0.56181,1.02098,0.96944,0.96261,0.97238,0.71861,0.93532,0.52322,1.00146,0.00092825,0.00092825,0.00092825
28,2212.57,0.96616,0.55738,1.0246,0.95522,0.96352,0.97466,0.70945,0.92576,0.51933,1.01035,0.000915875,0.000915875,0.000915875
29,2290.78,0.9445,0.54596,1.01104,0.97258,0.94507,0.96697,0.7246,0.91104,0.50423,1.00645,0.0009035,0.0009035,0.0009035
30,2368.93,0.93416,0.5381,1.00829,0.96876,0.96176,0.97625,0.72918,0.91818,0.4973,0.99315,0.000891125,0.000891125,0.000891125
31,2447.04,0.93769,0.5431,1.00916,0.96139,0.95216,0.97034,0.72472,0.91995,0.49763,0.98735,0.00087875,0.00087875,0.00087875
32,2525.28,0.91877,0.53014,0.99635,0.96823,0.96388,0.97693,0.72319,0.90889,0.49776,1.00284,0.000866375,0.000866375,0.000866375
33,2604.63,0.93895,0.5261,1.00774,0.97033,0.96324,0.97708,0.72858,0.90721,0.489,0.99479,0.000854,0.000854,0.000854
34,2684.4,0.90952,0.51744,0.99768,0.95831,0.95981,0.97551,0.7377,0.90467,0.48917,1.00585,0.000841625,0.000841625,0.000841625
35,2764.19,0.92646,0.52173,1.00455,0.96851,0.96114,0.97442,0.72885,0.90071,0.47831,0.99568,0.00082925,0.00082925,0.00082925
36,2843.61,0.92391,0.51425,1.0038,0.95591,0.95896,0.97062,0.73324,0.88965,0.47639,1.00312,0.000816875,0.000816875,0.000816875
37,2922.65,0.92046,0.51983,1.00002,0.97001,0.96502,0.979,0.74066,0.88959,0.47011,1.0002,0.0008045,0.0008045,0.0008045
38,3001.69,0.90374,0.51237,0.99583,0.95259,0.97356,0.97394,0.73743,0.88718,0.47064,0.99005,0.000792125,0.000792125,0.000792125
